Date,Close/Last,Volume,Open,High,Low
07/30/2021,$104.5,75136,$103.24,$104.69,$102.41
07/29/2021,$103.68,92759,$102.01,$104.2399,$100.655
07/28/2021,$101.56,43367,$101.21,$102.43,$99.85
07/27/2021,$100.55,59346,$102.23,$102.25,$99.39
07/26/2021,$102.7,47389,$102.1,$103.17,$102.1
07/23/2021,$101.65,66841,$101.74,$101.97,$100.55
07/22/2021,$101.13,69874,$102.3,$102.67,$100.83
07/21/2021,$102.4,61789,$101.97,$102.735,$101.33
07/20/2021,$101.39,116175,$100.38,$103.54,$99.72
07/19/2021,$99.84,115472,$98.47,$100.01,$97.53
07/16/2021,$100.07,69773,$102.08,$102.85,$99.37
07/15/2021,$101.17,69959,$100.83,$101.39,$100.03
07/14/2021,$101.2,60022,$103.15,$104.0699,$100.61
07/13/2021,$102.3,51755,$102.53,$103.72,$101.285
07/12/2021,$102.73,70686,$101.34,$102.84,$100.76
07/09/2021,$102.11,64860,$101.73,$103.14,$100.5415
07/08/2021,$100.56,103171,$101.41,$101.9996,$99.41
07/07/2021,$103.65,66479,$103,$103.9,$101.39
07/06/2021,$102.67,132526,$102.65,$103.0422,$101.57
07/02/2021,$103.34,85913,$103.34,$104.23,$102.29
07/01/2021,$102.47,114456,$104.1,$106.4,$102.25
06/30/2021,$103.09,108036,$102.41,$103.86,$100.855
06/29/2021,$102.94,132322,$101.67,$103.34,$101.42
06/28/2021,$100.98,136927,$101.35,$101.35,$100.1905
06/25/2021,$100.79,192073,$101.7,$101.7,$99.24
06/24/2021,$101.79,103377,$100.75,$102.39,$100.22
06/23/2021,$99.82,167670,$97.35,$100.07,$94.16
06/22/2021,$97.68,180699,$95.88,$97.97,$93.3
06/21/2021,$96.02,185850,$96,$96.88,$94.575
06/18/2021,$95.1,263336,$96.7,$97.155,$94.01
06/17/2021,$97.49,169108,$95.695,$98.37,$95.65
06/16/2021,$97.99,153122,$100.33,$100.47,$97.51
06/15/2021,$100.86,143016,$101.12,$101.86,$99.28
06/14/2021,$101.22,190452,$102.71,$102.71,$99.63
06/11/2021,$102.52,116278,$103.05,$104.2615,$102.345
06/10/2021,$102.41,122986,$102.65,$103.84,$101.04
06/09/2021,$102.51,254551,$107.78,$108.335,$101.79
06/08/2021,$108.81,220807,$111.72,$113.15,$108.1734
06/07/2021,$111.04,98747,$109.95,$111.92,$109.62
06/04/2021,$109.92,88448,$107.19,$110,$107
06/03/2021,$106.67,82979,$108.33,$108.48,$104.84
06/02/2021,$109.01,97744,$110,$110,$108.5
06/01/2021,$109.79,106075,$108.86,$110,$107.58
05/28/2021,$108.41,113089,$109.54,$111.6077,$106.51
05/27/2021,$108.85,176617,$109.47,$111.49,$108.61
05/26/2021,$108.16,249939,$102.76,$110.2009,$102.76
05/25/2021,$101.51,61344,$102.9,$103.98,$101.51
05/24/2021,$102.51,76656,$102.34,$102.73,$101.0901
05/21/2021,$101.2,84312,$103.73,$105.27,$101.2
05/20/2021,$102.42,74156,$100.18,$102.42,$99.73
05/19/2021,$99.69,97330,$98.31,$99.9,$95.15
05/18/2021,$100.31,112831,$103.15,$103.15,$100.1
05/17/2021,$102.69,107046,$106.88,$107.98,$102.54
05/14/2021,$107.98,85914,$107.84,$109.4,$107.04
05/13/2021,$106.65,169551,$104.06,$109.79,$104.06
05/12/2021,$103.07,307730,$103.83,$105.3,$101.75
05/11/2021,$104.29,206354,$99.54,$104.8,$99.54
05/10/2021,$101.67,178629,$101.36,$103.09,$98.89
05/07/2021,$101.53,85795,$101.6,$103.5073,$101.0198
05/06/2021,$100.56,110816,$101.92,$101.92,$98
05/05/2021,$101.28,140229,$103.76,$103.76,$97.31
05/04/2021,$102.765,151665,$102.95,$103.72,$100.245
05/03/2021,$103.97,148996,$103.03,$104.69,$101.07
04/30/2021,$101.73,140286,$104.93,$106.18,$101.6
04/29/2021,$106.53,76908,$105.68,$106.63,$104.18
04/28/2021,$104.32,85154,$105.2,$105.575,$103.55
04/27/2021,$105.49,94854,$105.35,$106.61,$104.7
04/26/2021,$105.35,117764,$106.77,$107.34,$105.03
04/23/2021,$106.17,98653,$106.08,$107.8439,$105.84
04/22/2021,$105.43,91593,$106,$107.95,$105.4
04/21/2021,$105.45,110649,$106.01,$107.09,$105.08
04/20/2021,$105.87,111981,$107.76,$108.78,$104.51
04/19/2021,$108.05,99716,$109.72,$109.72,$106.71
04/16/2021,$109.675,80775,$109.07,$109.92,$107.12
04/15/2021,$108.69,73470,$108.91,$109.53,$106.96
04/14/2021,$107.62,102273,$106.76,$108.7,$105.925
04/13/2021,$106.51,125384,$108.5,$108.9999,$105.46
04/12/2021,$107.87,120104,$105.88,$109.95,$105.12
04/09/2021,$105.33,109233,$104.73,$105.88,$103.62
04/08/2021,$104.24,145803,$103.66,$104.64,$102.02
04/07/2021,$102.41,99930,$102.33,$103.28,$100.89
04/06/2021,$102.58,170629,$105.11,$106.63,$101.66
04/05/2021,$105.67,297796,$99.81,$106.05,$99.3845
04/01/2021,$99.62,158023,$100.43,$101.88,$99.01
03/31/2021,$100.45,263098,$99.48,$103.52,$98.98
